Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get Landing Page,2420,2173,1533,4441,5786,10112,0,61467,0.000%,8.03266,169.88,7.69
Sign UP,2381,1604,976,2388,3356,10452,0,63334,0.042%,8.03876,78.94,10.33
Filling Info,2343,3680,2624,5621,9036,30663,0,74884,0.256%,7.11762,69.68,19.38
Sign In,2286,3346,2576,4352,6095,19014,0,100925,0.131%,7.06151,100.66,19.71
Choose Cataegory,2243,795,485,1248,1715,4085,0,33555,0.000%,7.86240,31.56,4.82
Choose Product,2230,879,481,1260,2114,6065,0,54506,0.000%,7.88549,33.08,5.09
Add to Cart,2220,855,485,1291,2060,6269,0,25709,0.000%,7.37106,34.97,4.77
Check Out,2211,912,480,1291,2089,7991,0,53278,0.000%,7.75912,42.49,4.88
Finish,2195,2006,1359,2789,4476,13486,0,87365,0.137%,6.87106,67.73,12.57
Signout,2158,2280,1768,3069,4093,11388,0,88293,0.093%,7.57975,75.36,13.82
TOTAL,22687,1866,1217,3321,4619,12356,0,100925,0.066%,66.45654,627.40,92.95
