Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get Landing Page,2420,2173,0,61467,2482.09,0.000%,8.03266,169.88,7.69,21656.8
Sign UP,2381,1604,0,63334,2990.06,0.042%,8.03876,78.94,10.33,10055.7
Filling Info,2343,3680,0,74884,6036.73,0.256%,7.11762,69.68,19.38,10025.1
Sign In,2286,3346,0,100925,5642.72,0.131%,7.06151,100.66,19.71,14596.9
Choose Cataegory,2243,795,0,33555,1224.06,0.000%,7.86240,31.56,4.82,4111.0
Choose Product,2230,879,0,54506,2069.20,0.000%,7.88549,33.08,5.09,4296.0
Add to Cart,2220,855,0,25709,1352.75,0.000%,7.37106,34.97,4.77,4858.2
Check Out,2211,912,0,53278,2128.49,0.000%,7.75912,42.49,4.88,5607.7
Finish,2195,2006,0,87365,4234.97,0.137%,6.87106,67.73,12.57,10094.5
Signout,2158,2280,0,88293,3912.75,0.093%,7.57975,75.36,13.82,10181.0
TOTAL,22687,1866,0,100925,3733.95,0.066%,66.45654,627.40,92.95,9667.3
